iter	Passed	Remaining
0	1	118
1	2	99
2	2	92
3	3	85
4	4	90
5	5	87
6	6	89
7	7	88
8	8	90
9	10	91
10	11	95
11	13	96
12	14	96
13	15	96
14	17	97
15	18	96
16	20	97
17	21	98
18	22	96
19	23	93
20	24	91
21	25	89
22	26	87
23	27	86
24	28	85
25	29	84
26	30	83
27	32	82
28	33	80
29	34	79
30	35	78
31	36	76
32	36	74
33	37	73
34	38	71
35	39	70
36	40	69
37	42	68
38	43	67
39	44	66
40	45	64
41	45	62
42	46	61
43	47	60
44	48	59
45	49	58
46	50	57
47	52	56
48	53	55
49	54	54
50	54	52
51	55	51
52	56	49
53	56	48
54	57	47
55	58	46
56	59	45
57	60	43
58	61	42
59	62	41
60	63	40
61	64	39
62	65	38
63	65	36
64	66	35
65	67	34
66	68	33
67	68	32
68	69	31
69	70	30
70	71	29
71	72	28
72	73	27
73	73	25
74	74	24
75	75	23
76	76	22
77	77	21
78	78	20
79	78	19
80	79	18
81	80	17
82	80	16
83	81	15
84	82	14
85	83	13
86	83	12
87	84	11
88	85	10
89	86	9
90	86	8
91	87	7
92	88	6
93	88	5
94	89	4
95	90	3
96	90	2
97	91	1
98	92	0
99	92	0
